NAME OF COMPANY,SYMBOL,SECTOR
Kiran Vyapar Limited,KIRANVYPAR,Financial Services
KIRI INDUSTRIES LIMITED,KIRIINDUS,Chemicals
"Kirloskar Brothers Ltd.,",KIRLOSBROS,Capital Goods
KIRLOSKAR ELECTRIC COMPANY LTD.,KECL,Capital Goods
Kirloskar Ferrous Industries Ltd.,KIRLFER,Metals & Mining
Kirloskar Industries Ltd,KIRLOSIND,Capital Goods
Kirloskar Oil Engines Limited,KIRLOSENG,Capital Goods
Kirloskar Pneumatic Co.Ltd.,KIRLPNU,Capital Goods
Kisan Mouldings Ltd.,KISAN,Capital Goods
Kitex Garmenets Ltd.,KITEX,Textiles
KJMC Corporate Advisors (India) Ltd.,KJMCCORP,Financial Services
KJMC Financial Services Ltd.,KJMCFIN,Financial Services
Kkalpana Industries (India) Ltd,KKALPANAIND,Chemicals
Kkalpana Plastick Limited,KKPLASTICK,Capital Goods
KMC Speciality Hospitals India Limited,KMCSHIL,Healthcare
KMF Builders & Developers Ltd.,KMFBLDR,Realty
KMG Milk Food Limited,KMGMILK,Fast Moving Consumer Goods
KMS Medisurgi Limited,KMSMEDI,Healthcare
Knowledge Marine & Engineering Works Limited,KMEW,Services
KNR Constructions Limited,KNRCON,Construction
KOBO BIOTECH LIMITED,KOBO,Chemicals
Kohinoor Foods Ltd,KOHINOOR,Fast Moving Consumer Goods
Kokuyo Camlin Ltd,KOKUYOCMLN,Fast Moving Consumer Goods
Kolte-Patil Developers Ltd,KOLTEPATIL,Realty
Kome-on Communication Limited,KOCL,"Media, Entertainment & Publication"
Konark Synthetics  Ltd,KONARKSY,Textiles
KONNDOR INDUSTRIES LIMITED,KONNDOR,Forest Materials
"Kopran Ltd.,",KOPRAN,Healthcare
Kore Foods Limited,KORE,Fast Moving Consumer Goods
Kotak Mahindra Bank Ltd.,KOTAKBANK,Financial Services
Kotak Mahindra Mutual Fund,KTKSENSEX,Financial Services
Kotak Mahindra Mutual Fund - Permitted,KOTAKPSUBK,Financial Services
Kothari Fermanatation & Biochem Ltd,KFBL,Fast Moving Consumer Goods
Kothari Products Ltd.,KOTHARIPRO,Services
Kotia Enterprises Limited,KEL,Consumer Services
Kovai Medical Center & Hospital Ltd,KOVAI,Healthcare
"Kovalam Inv. & Trading Co.Ltd.,",ZKOVALIN,Services
KOVILPATTI LAKSHMI ROLLER FLOUR MILLS  LTD,KLRFM,Fast Moving Consumer Goods
KPI Green Energy Limited,KPIGREEN,Power
KPIT Technologies Ltd,KPITTECH,Information Technology
KPT INDUSTRIES LIMITED,KPT,Capital Goods
Kranti Industries Limited,KRANTI,Automobile and Auto Components
Kratos Energy & Infrastructure Limited,KRATOSENER,Services
KRBL Ltd.,KRBL,Fast Moving Consumer Goods
Krebs Biochemicals & Industries Ltd.,KREBSBIO,Healthcare
Kreon Finnancial Services Limited,KREONFIN,Financial Services
KRETTO SYSCON LIMITED,KRETTOSYS,Realty
Kridhan Infra Limited,KRIINFRA,Construction
Krishna Capital And Securities Limited,KRISHNACAP,Financial Services
KRISHNA FILAMENT INDUSTRIES LIMITED,KRIFILIND,Capital Goods
Krishna Institute of Medical Sciences Limited,KIMS,Healthcare
Krishna Ventures Limited,KRISHNA,Realty
Kriti Industries (India) Ltd.,KRITIIND,Capital Goods
Kriti Nutrients Ltd,KRITINUT,Fast Moving Consumer Goods
Krsnaa Diagnostics Limited,KRSNAA,Healthcare
Krypton Industries Ltd,KRYPTONQ,Diversified
KSB LIMITED,KSB,Capital Goods
KSE Ltd.,KSE,Fast Moving Consumer Goods
Kuantum Papers Limited,KUANTUM,Forest Materials
"Kunststoffe Industries Ltd.,",KUNSTOFF,Capital Goods
"Kusam Electrical Industies Ltd.,",KUSUMEL,Services
Kush Industries Limited,KUSHIND,Textiles
Kuwer Industries Ltd.,KUWERIN,Chemicals
Kwality Pharmaceuticals Limited,KPL,Healthcare
L&T FINANCE HOLDINGS LIMITED,L&TFH,Financial Services
